OI_Change_C,OI_C,Volume_C,ITM_Prob_C,IV_C,LTP_C,CHANGE_C,STRIKE,CHANGE_P,LTP_P,IV_P,ITM_Prob_P,Volume_P,OI_P,OI_Change_P
0,0,0,0,0,0,0,14000,0,37.05,17.04,0,1,59,0
-1,0,1,95.2,38.65,6850,0,15000,0,73,16.38,4.7,14,505,-1
-2,397,4,90.8,21.87,5100,0,16000,32.8,147,16.06,9.1,98,204,5
0,321,7,84.6,19.46,4176,-168.1,17000,12.8,226,14.84,15.3,22,487,16
-2,408,19,76.5,19.07,3420,-82.6,18000,13.45,370,14.03,23.4,43,1297,9
-1,17,3,71.9,18.99,3080,-80,18500,0,0,0,28,0,0,0
1,512,20,67,18.48,2722.5,-143.7,19000,8.65,585,13.23,32.9,56,1514,29
2,325,18,56.9,17.55,2071.15,-95.5,20000,33.65,898,12.47,43,69,883,2
0,164,3,46.9,16.54,1495,-58.7,21000,19.45,1257.45,11,53,7,16,4
1,102,8,37.5,15.24,985,-55,22000,59,1800,9.94,62.4,9,49,6
-4,62,11,29.1,14.87,661,-37.5,23000,0,2490,8.64,70.8,1,1,0
0,1,2,22,13.92,380,0,24000,0,0,0,77.9,0,0,0
