OI_Change_C,OI_C,Volume_C,ITM_Prob_C,IV_C,LTP_C,CHANGE_C,STRIKE,CHANGE_P,LTP_P,IV_P,ITM_Prob_P,Volume_P,OI_P,OI_Change_P
-3,940,99,100,0,3427.4,-145.9,16400,-0.5,0.85,51.64,0,12860,9416,5292
-1,0,1,100,0,2530.9,0,16450,-0.55,0.9,51.16,0,2568,956,729
-78,6510,115,100,48.16,3338.5,-126.15,16500,-0.6,0.85,50.13,0,26480,27320,-3062
-1,2,2,100,0,2217,0,16550,-0.85,0.85,49.38,0,2565,980,840
0,36,1,100,107.48,3360.95,0,16600,-0.7,0.85,48.63,0,1812,901,755
-1,1,2,100,0,2320.35,0,16650,-0.6,0.85,47.88,0,702,542,327
0,142,2,100,79.76,3176.55,0,16700,-0.8,0.85,47.13,0,2219,851,532
0,0,0,0,0,0,0,16750,-0.75,0.9,46.64,0,160,150,69
0,110,2,100,0,2740,0,16800,-0.75,0.8,45.37,0,1356,701,217
-1,0,1,100,0,2113.9,0,16850,-0.75,0.9,45.14,0,854,507,339
10,64,10,100,0,2900,0,16900,-0.85,0.9,44.4,0,966,646,483
-1,2,3,100,0,2019.7,0,16950,-0.9,0.9,43.65,0,1543,1047,504
-119,6392,215,100,45.83,2839.65,-128.55,17000,-0.9,1,43.36,0,29220,41016,6947
0,0,0,0,0,0,0,17050,-0.85,1.05,42.82,0,508,485,199
-1,547,2,100,65.9,2765,-26.6,17100,-0.9,1.05,42.07,0,3321,1900,1005
0,0,0,0,0,0,0,17150,-1,1,41.11,0,831,387,294
-14,650,27,100,64.21,2666,-104,17200,-1,0.95,40.16,0,4031,3322,1152
0,0,0,0,0,0,0,17250,-0.75,1.1,40.01,0,599,242,133
1,456,9,100,82.22,2633,0,17300,-0.95,1.05,39.07,0,4329,3312,1482
-1,0,1,100,0,2450,0,17350,-1.2,1,38.14,0,2355,791,560
2,567,24,100,87.12,2568,0.1,17400,-0.9,1.15,37.94,0,3281,5140,1190
0,4,1,100,0,1510,0,17450,-1.05,1.35,37.83,0,83,120,-1
-39,2724,47,100,38.85,2340,-130.6,17500,-1.15,1.3,36.92,0,60958,35336,-14030
1,7,1,100,0,1951.15,0,17550,-1.5,1.4,36.46,0,2156,1260,1066
-8,1065,35,100,56.96,2269.4,-98.45,17600,-1.1,1.3,35.41,0,6102,8879,304
0,7,5,100,0,1234.25,0,17650,-0.75,1.3,34.66,0,1789,529,391
0,1099,9,100,45.77,2150,-122.4,17700,-1.15,1.3,33.9,0,4296,8374,942
-4,18,4,100,73.01,2195,0,17750,-1.1,1.45,33.55,0,893,768,118
-12,1413,18,100,0,2035,-130.45,17800,-1.15,1.35,32.53,0,6464,6510,1415
-2,37,3,100,62.85,2060,0,17850,-1,1.5,32.16,0,1297,769,448
-18,686,26,100,49.44,1966.6,-101.4,17900,-1.1,1.55,31.51,0,4896,4005,550
-1,70,2,100,68.63,2000,0,17950,-0.85,1.65,30.97,0,2281,380,125
-184,9000,293,100,0,1835.2,-130.15,18000,-0.95,1.65,30.2,0,79513,87737,-437
0,88,2,100,51.39,1833.55,57.6,18050,-1.1,1.7,29.54,0,2421,605,125
-16,1767,21,100,46.4,1770.45,-66.1,18100,-1,1.7,28.77,0,10899,5509,1347
-4,276,5,100,64.12,1805,0,18150,-1,1.8,28.19,0,2293,719,237
-100,3016,215,100,29.38,1641.05,-137.75,18200,-0.95,1.8,27.42,0,12746,15678,1742
-2,323,3,100,41.41,1615.15,-100.85,18250,-1.05,1.95,26.91,0,4050,2078,665
-2,3642,24,100,26.29,1540,-133.15,18300,-0.95,2,26.21,0,30780,20618,2893
-3,272,4,99.9,0,1485,-125.4,18350,-0.95,2.2,25.74,0,11531,1650,826
-125,3425,184,99.9,0,1436,-123.05,18400,-1.05,2.3,25.09,0,30072,16295,2637
0,178,29,99.9,56.46,1508.75,-1.15,18450,-0.95,2.5,24.57,0,13917,2036,695
-297,8902,514,99.9,0,1337.6,-130.9,18500,-0.95,2.8,24.13,0,88637,93599,14616
-12,614,90,99.9,54.79,1416,-0.1,18550,-1.2,2.85,23.38,0,21186,3751,1326
-65,5138,332,99.9,20.66,1239.4,-133.3,18600,-1.15,3.15,22.88,0,83053,49829,-2226
-4,569,14,99.9,29.95,1206.25,-93.75,18650,-0.95,3.3,22.2,0,33460,10574,2391
-206,5134,616,99.9,0,1137.15,-138.55,18700,-1.05,3.55,21.6,0,91051,39243,4452
-1,1179,7,99.9,29.07,1110,-109.8,18750,-1,3.9,21.06,0,34509,13239,3905
-138,9642,404,99.9,18.66,1040.2,-129.35,18800,-0.85,4.25,20.48,0,102682,60938,11247
0,475,50,99.8,21.35,995,-124.1,18850,-0.85,4.6,19.87,0.1,30413,6472,2881
-526,8467,1199,99.7,18.89,942.4,-135.65,18900,-0.75,5.1,19.32,0.2,137649,56988,2521
-7,1206,23,99.6,20.94,898.2,-123.15,18950,-0.65,5.5,18.67,0.3,36696,8430,1779
-1219,23426,2865,99.4,17.69,843.3,-130.5,19000,-0.5,6.1,18.1,0.5,248901,171970,26039
-10,954,81,99,22.56,810,-113.15,19050,-0.4,6.55,17.41,0.9,49740,12770,4796
-186,5888,545,98.6,18.35,749.2,-125.65,19100,-0.15,7.2,16.78,1.3,137004,55814,9150
-67,1138,171,98,25.5,736,-91.55,19150,0.05,7.95,16.14,1.9,64450,22762,15128
-510,16426,4097,97.1,15.51,646.8,-131.6,19200,0.6,8.85,15.51,2.8,187830,74013,9577
-136,1935,302,96,16.35,602.9,-124.3,19250,0.95,10.1,14.94,3.9,99088,16224,5407
-949,10440,3913,94.5,14.24,549.1,-128.75,19300,1.7,11.65,14.38,5.4,231601,78158,7277
-38,1648,272,92.6,13.95,501.95,-128.35,19350,2.75,13.55,13.83,7.3,94525,18832,6205
-2077,16961,8518,90.3,13.62,455.35,-126.45,19400,4.3,16.45,13.41,9.6,297445,89159,12593
0,3850,520,87.5,12.69,406.45,-127.45,19450,6.2,19.75,12.93,12.5,165301,37660,17459
-706,42284,21050,84.1,12.54,362.3,-124.15,19500,9.05,24.8,12.62,15.8,351718,107721,6296
-105,3805,1623,80.2,12.23,318.6,-116.9,19550,12.7,30.85,12.26,19.7,159154,23058,4911
1156,24141,44982,75.8,11.87,276,-114.75,19600,17.1,38.5,11.93,24.1,450898,96070,31115
754,4596,11780,71,11.7,236.85,-108.4,19650,22.8,49.1,11.72,28.9,239076,40483,17843
9814,44323,149397,65.7,11.51,200,-101.75,19700,30.1,62.35,11.55,34.2,669747,117139,18105
11123,25708,126660,60.2,11.35,166.1,-93.75,19750,37.65,78.65,11.4,39.7,430818,63590,22325
77929,172028,909045,54.4,11.19,135.4,-86.8,19800,46,98,11.24,45.5,1482531,233742,57719
79042,91004,649949,48.5,11.08,108.55,-77.4,19850,54.6,120.9,11.11,51.4,625755,75995,36139
124094,196258,1051529,42.7,10.96,85.05,-69.85,19900,63.6,148,11.05,57.2,735878,122674,12474
44405,72148,410911,37.1,10.91,65.7,-59.65,19950,72.5,178.05,10.94,62.8,142794,19911,-6807
81584,201085,810050,31.7,10.85,49.5,-50.8,20000,82.35,212.05,10.9,68.2,233915,55970,-15700
