OI_Change_C,OI_C,Volume_C,ITM_Prob_C,IV_C,LTP_C,CHANGE_C,STRIKE,CHANGE_P,LTP_P,IV_P,ITM_Prob_P,Volume_P,OI_P,OI_Change_P
30,165,31,99.9,0,3104.55,4.55,16800,0,6.6,22.9,0,226,1108,73
0,0,0,0,0,0,0,16850,0,14.7,25.4,0,5,36,2
0,0,0,0,0,0,0,16900,0,15.65,25.27,0,5,120,-1
280,1535,322,99.9,0,2895,-142.45,17000,-0.6,7.5,21.89,0,977,14931,351
-1,0,1,99.9,0,2577.15,0,17050,0,17,24.45,0,1,115,0
-1,0,1,99.9,0,2530.85,0,17100,-8.3,3.5,19.14,0,100,225,86
0,0,0,0,0,0,0,17150,-7.85,3.6,18.88,0,2,50,1
-1,13,2,99.9,29.14,2770,0,17200,3.45,7.7,20.56,0,114,369,-76
0,0,0,0,0,0,0,17250,-7.65,4,18.48,0,1,87,0
-1,0,1,99.9,0,2348.15,0,17300,-8,4,18.15,0,2,242,0
0,0,0,0,0,0,0,17350,-7.6,4.3,17.99,0,7,75,0
0,2,2,99.9,0,2515,15.05,17400,-0.95,7.7,19.15,0,104,222,26
0,0,0,0,0,0,0,17450,-7.65,8.35,19.02,0,11,6,-1
10,623,70,99.9,0,2396,-155.6,17500,-0.35,7.95,18.53,0,2214,14450,-2
0,0,0,0,0,0,0,17550,-0.95,8.95,18.51,0,49,107,-3
0,7,1,99.9,21.37,2340,312.8,17600,-0.5,8.45,17.99,0,177,908,37
0,0,0,0,0,0,0,17650,-1.95,9.9,18.08,0,22,98,7
0,32,2,99.8,21.53,2246,-94,17700,-1.05,9.25,17.53,0.1,144,1874,11
0,0,0,0,0,0,0,17750,0,11.9,17.89,0,2,58,0
15,32,16,99.8,19.46,2138.25,-71.75,17800,-1.2,11.1,17.32,0.1,803,6011,-59
0,0,0,0,0,0,0,17850,-1.6,12.3,17.25,0,58,97,5
4,13,6,99.7,15.78,2025,-13.1,17900,-0.5,11.95,16.79,0.2,421,4238,27
0,0,0,0,0,0,0,17950,-2.05,12.95,16.65,0,9,120,-1
362,4335,651,99.5,14.44,1923,-143.6,18000,-0.9,14.6,16.63,0.4,6751,24874,507
0,0,0,0,0,0,0,18050,-0.8,16.2,16.56,0,12,142,-1
3,203,14,99.3,0,1804,-152.15,18100,-0.85,14.7,15.89,0.6,583,4300,-214
0,0,0,0,0,0,0,18150,-1.55,15.85,15.73,0,84,90,-39
24,159,38,99,15.36,1732.8,-117,18200,-0.7,16.4,15.44,0.9,950,5271,-37
-1,3,1,98.8,0,776.95,0,18250,-0.05,17.5,15.24,1.1,61,303,13
21,330,38,98.6,11.26,1620,-161.25,18300,-0.05,18.5,15.02,1.3,2785,6198,-194
-1,10,5,98.3,0,866,0,18350,-0.9,19.6,14.79,1.6,27,295,18
-25,320,31,98,14.9,1540,-145.25,18400,-0.55,21.2,14.63,1.9,1469,4849,60
-2,18,2,97.6,0,956,0,18450,0.95,24.6,14.69,2.3,40,424,-23
43,11263,326,97.2,12.58,1430.05,-153.8,18500,-0.1,26.5,14.51,2.7,12334,34671,86
1,61,1,96.7,13.14,1386,0,18550,0,27.95,14.27,3.2,60,606,-25
-16,1940,44,96.2,13.27,1340,-150.4,18600,1.05,29.9,14.06,3.7,2816,7145,-90
1,77,1,95.6,22.27,1417.05,0,18650,1.65,32.15,13.88,4.3,297,237,-16
-10,2109,34,94.9,11.73,1234.45,-154.5,18700,1.65,33.7,13.6,5,4141,8516,568
0,83,2,94.1,17.68,1259.3,-16.7,18750,2.55,37.45,13.52,5.8,310,237,18
-28,2178,92,93.3,13.2,1155.65,-140.55,18800,4.9,41.3,13.42,6.6,7919,11938,569
2,66,3,92.3,13.43,1113.8,-111.2,18850,4.65,44.1,13.2,7.6,292,346,-17
-9,1847,58,91.3,12.7,1060.6,-130.6,18900,5.9,47.4,13,8.6,4357,7491,-186
-3,267,26,90.1,13.02,1020.85,-37.95,18950,6.45,51.8,12.86,9.8,244,519,-4
-88,11943,1487,88.9,12.53,970.75,-136.9,19000,7.45,57.1,12.76,11,25414,39311,5263
0,53,1,87.6,14.02,951.5,-16.5,19050,8.65,61.95,12.59,12.3,237,490,-71
-17,818,183,86.1,11.81,874.7,-141.25,19100,9.3,67.4,12.43,13.8,6181,8200,909
-1,107,3,84.6,13.43,860,-92.85,19150,11.75,73.6,12.29,15.3,825,881,500
-162,2672,537,82.9,11.91,793,-137.7,19200,11.95,80.35,12.15,17,10006,11897,2633
-1,100,9,81.1,12.37,761.2,-113.8,19250,14,87.8,12.02,18.8,496,658,54
171,3462,737,79.3,11.76,710.4,-133.45,19300,16.4,97.55,11.97,20.6,6820,12177,1329
2,51,6,77.3,11.3,662.65,-141.2,19350,18.75,106.25,11.82,22.6,248,557,33
-170,2458,848,75.2,11.63,631.5,-128.8,19400,20.25,115.85,11.69,24.7,7662,10920,793
-3,203,6,73.1,14.07,650,-66.35,19450,23.1,127.25,11.59,26.8,570,726,1
-98,19058,5998,70.8,11.44,555,-123.15,19500,25.95,140.25,11.53,29.1,18656,38704,1359
-22,277,407,68.5,11.84,530,-113.1,19550,27.8,152.35,11.39,31.4,321,573,-61
-183,4679,1341,66.1,11.39,486,-112.75,19600,32.4,168.2,11.35,33.8,6754,9740,908
0,278,81,63.6,11.2,449,-110.7,19650,34.45,182.25,11.2,36.3,458,755,15
-36,9113,4104,61.1,11.1,415.4,-108.2,19700,39.25,199.85,11.15,38.8,11353,10338,930
-23,899,611,58.6,11.13,386.6,-106.3,19750,41.5,216.35,11,41.3,1743,1425,608
4642,13299,12901,56,11.04,355.6,-104.05,19800,45.4,238.05,11.01,43.9,18764,15532,3559
13,1236,1393,53.4,10.91,325.1,-98.9,19850,47.05,256.35,10.84,46.5,1369,826,60
3975,9873,10578,50.8,10.79,296.15,-96.1,19900,54.1,280.15,10.82,49.1,9782,7132,2026
80,929,713,48.2,10.79,271.75,-92.1,19950,53.9,299.4,10.58,51.7,761,747,-96
4080,27925,20923,45.6,10.69,246.15,-88,20000,62.05,327.15,10.61,54.3,19974,18270,1205
-32,1088,755,43.1,10.63,222.95,-81.8,20050,66.1,351.95,10.48,56.8,242,464,35
65,4414,3893,40.6,10.53,200,-76.45,20100,73.9,380.1,10.41,59.3,2789,1498,78
36,880,614,38.1,10.54,181.3,-69.4,20150,77.9,409.5,10.34,61.8,86,256,-19
